/usr/local/bin/fastp -i 49937_1#156_1.fastq.gz -I 49937_1#156_2.fastq.gz -o trimmed/49937_1#156_1_tr.fastq.gz -O trimmed/49937_1#156_2_tr.fastq.gz -j trimmed/49937_1#156.json -h trimmed/49937_1#156.html 	2019268	2005742
/usr/local/bin/fastp -i 49937_1#157_1.fastq.gz -I 49937_1#157_2.fastq.gz -o trimmed/49937_1#157_1_tr.fastq.gz -O trimmed/49937_1#157_2_tr.fastq.gz -j trimmed/49937_1#157.json -h trimmed/49937_1#157.html 	2175630	2137916
/usr/local/bin/fastp -i 49937_1#158_1.fastq.gz -I 49937_1#158_2.fastq.gz -o trimmed/49937_1#158_1_tr.fastq.gz -O trimmed/49937_1#158_2_tr.fastq.gz -j trimmed/49937_1#158.json -h trimmed/49937_1#158.html 	2393326	2370356
/usr/local/bin/fastp -i 49937_1#159_1.fastq.gz -I 49937_1#159_2.fastq.gz -o trimmed/49937_1#159_1_tr.fastq.gz -O trimmed/49937_1#159_2_tr.fastq.gz -j trimmed/49937_1#159.json -h trimmed/49937_1#159.html 	2285060	2260706
/usr/local/bin/fastp -i 49937_1#15_1.fastq.gz -I 49937_1#15_2.fastq.gz -o trimmed/49937_1#15_1_tr.fastq.gz -O trimmed/49937_1#15_2_tr.fastq.gz -j trimmed/49937_1#15.json -h trimmed/49937_1#15.html 	3555560	3518722
/usr/local/bin/fastp -i 49937_1#160_1.fastq.gz -I 49937_1#160_2.fastq.gz -o trimmed/49937_1#160_1_tr.fastq.gz -O trimmed/49937_1#160_2_tr.fastq.gz -j trimmed/49937_1#160.json -h trimmed/49937_1#160.html 	1964118	1940846
/usr/local/bin/fastp -i 49937_1#161_1.fastq.gz -I 49937_1#161_2.fastq.gz -o trimmed/49937_1#161_1_tr.fastq.gz -O trimmed/49937_1#161_2_tr.fastq.gz -j trimmed/49937_1#161.json -h trimmed/49937_1#161.html 	2426504	2407316
/usr/local/bin/fastp -i 49937_1#162_1.fastq.gz -I 49937_1#162_2.fastq.gz -o trimmed/49937_1#162_1_tr.fastq.gz -O trimmed/49937_1#162_2_tr.fastq.gz -j trimmed/49937_1#162.json -h trimmed/49937_1#162.html 	2011432	1987164
/usr/local/bin/fastp -i 49937_1#163_1.fastq.gz -I 49937_1#163_2.fastq.gz -o trimmed/49937_1#163_1_tr.fastq.gz -O trimmed/49937_1#163_2_tr.fastq.gz -j trimmed/49937_1#163.json -h trimmed/49937_1#163.html 	3176922	3142128
/usr/local/bin/fastp -i 49937_1#164_1.fastq.gz -I 49937_1#164_2.fastq.gz -o trimmed/49937_1#164_1_tr.fastq.gz -O trimmed/49937_1#164_2_tr.fastq.gz -j trimmed/49937_1#164.json -h trimmed/49937_1#164.html 	3076620	3052598
