studyid,runid,laneid,plexid
7835,49989,1,29
7835,49947,1,382
7835,49989,2,160
7835,49947,1,284
7835,49989,2,28
7835,49990,1,342
7835,49989,2,308
7835,49947,1,158
7835,49990,2,267
7835,49989,2,83
7835,49990,1,184
7835,49947,1,96
7835,49937,1,265
7835,49989,1,77
7835,49989,1,143
7835,49937,1,61
7835,49989,2,213
7835,49989,2,203
7835,49937,1,32
7835,49947,1,178
7835,49989,2,216
7835,49989,1,268
7835,49990,2,121
7835,49937,1,227
7835,49947,1,219
7835,49989,1,154
7835,49937,1,300
7835,49989,1,142
7835,49989,2,269
7835,49947,1,57
7835,49990,2,135
7835,49937,1,197
7835,49990,2,294
7835,49989,2,78
7835,49990,2,184
7835,49989,2,376
7835,49947,1,90
7835,49989,1,351
7835,49989,2,357
7835,49990,2,257
7835,49989,2,4
7835,49937,1,246
7835,49937,1,198
7835,49990,2,191
7835,49937,1,97
7835,49990,2,16
7835,49990,2,10
7835,49989,1,273
7835,49947,1,122
7835,49989,1,168
7835,49989,2,371
7835,49937,1,356
7835,49989,2,276
7835,49989,2,99
7835,49937,1,154
7835,49990,1,274
7835,49989,2,321
7835,49937,1,368
7835,49989,1,165
7835,49947,1,369
7835,49937,1,373
7835,49989,2,96
7835,49990,2,19
7835,49989,1,39
7835,49989,2,55
7835,49937,1,297
7835,49990,2,9
7835,49937,1,127
7835,49947,1,180
7835,49990,2,139
7835,49989,2,266
7835,49989,1,265
7835,49989,2,297
7835,49989,1,258
7835,49990,1,121
7835,49989,1,14
7835,49989,1,237
7835,49990,2,246
7835,49947,1,119
7835,49989,1,171
7835,49989,1,350
7835,49989,1,262
